,TimeBeginning,TimeEnding,Region,Energy,Total_Emissions,Energy_SO,INTERCONNECTORID,SETTLEMENTDATE,METEREDMWFLOW,MWFLOW,MWLOSSES,INTERCONNECTORID,SETTLEMENTDATE,METEREDMWFLOW.1,MWFLOW,MWLOSSES,SETTLEMENTDATE,METEREDMWFLOW.2,New_Energy_T_V,New_Emissions_T_V,New_Energy_V_N,New_Emissions_V_N,New_Energy_V_S,New_Emissions_V_S,New_Intensity_Index
0,2022-01-01 00:00:00,2022-01-01 01:00:00,VIC1,5754.34,4630.238,5395.087,VIC1-NSW1,2022-01-01 00:00:00,701.7433333333333,705.9516666666667,24.1225,T-V-MNSP1,2022-01-01 00:00:00,447.60833333333335,454.0,19.64,2022-01-01 00:00:00,531.9833333333333,701.7433333333333,0.0,-447.60833333333335,-384.1519356623288,-531.9833333333333,-456.56528715230485,0.7405401670768337
1,2022-01-01 01:00:00,2022-01-01 02:00:00,VIC1,5688.89,4801.86,5312.829,VIC1-NSW1,2022-01-01 01:00:00,781.5616666666666,794.1508333333333,38.6925,T-V-MNSP1,2022-01-01 01:00:00,447.4333333333333,449.65333333333336,19.25333333333333,2022-01-01 01:00:00,402.6716666666667,781.5616666666666,0.0,-447.4333333333333,-404.40078647364703,-402.6716666666667,-363.944137727753,0.7691257365013742
2,2022-01-01 02:00:00,2022-01-01 03:00:00,VIC1,5678.39,4684.102,5310.941,VIC1-NSW1,2022-01-01 02:00:00,826.9608333333334,813.2183333333332,45.405,T-V-MNSP1,2022-01-01 02:00:00,413.2083333333333,408.9258333333333,15.848333333333334,2022-01-01 02:00:00,596.9383333333334,826.9608333333334,0.0,-413.2083333333333,-364.438238079341,-596.9383333333334,-526.4829793897793,0.7397351588056931
3,2022-01-01 03:00:00,2022-01-01 04:00:00,VIC1,5735.512,4623.298,5372.91,VIC1-NSW1,2022-01-01 03:00:00,873.5758333333333,868.5558333333333,55.928333333333335,T-V-MNSP1,2022-01-01 03:00:00,330.2916666666667,332.00083333333333,10.504166666666666,2022-01-01 03:00:00,766.3241666666667,873.5758333333333,0.0,-330.2916666666667,-284.2103816957043,-766.3241666666667,-659.4089584790489,0.7145187470412353
4,2022-01-01 04:00:00,2022-01-01 05:00:00,VIC1,5711.628,4529.587,5356.111,VIC1-NSW1,2022-01-01 04:00:00,839.3216666666667,843.4625,53.5225,T-V-MNSP1,2022-01-01 04:00:00,249.49166666666667,251.8733333333333,6.03,2022-01-01 04:00:00,790.6033333333332,839.3216666666667,0.0,-249.49166666666667,-210.9915589765908,-790.6033333333332,-668.6020100821909,0.7080027860330685
5,2022-01-01 05:00:00,2022-01-01 06:00:00,VIC1,5617.138,4454.245,5267.581,VIC1-NSW1,2022-01-01 05:00:00,809.2783333333333,803.735,49.27166666666667,T-V-MNSP1,2022-01-01 05:00:00,176.9,169.43833333333333,2.5416666666666665,2022-01-01 05:00:00,780.3225,809.2783333333333,0.0,-176.9,-149.58591818521634,-780.3225,-659.8375220072553,0.7119297087786652
6,2022-01-01 06:00:00,2022-01-01 07:00:00,VIC1,5243.931,4163.201,4919.506,VIC1-NSW1,2022-01-01 06:00:00,473.455,476.2616666666667,19.5475,T-V-MNSP1,2022-01-01 06:00:00,1.4166666666666714,-31.5425,4.5025,2022-01-01 06:00:00,738.7891666666667,473.455,0.0,-1.4166666666666714,-1.1988740502264563,-738.7891666666667,-625.2107015330062,0.760149910692722
7,2022-01-01 07:00:00,2022-01-01 08:00:00,VIC1,4975.517,4223.306,4650.314,VIC1-NSW1,2022-01-01 07:00:00,-9.1375,17.978333333333335,0.4233333333333333,T-V-MNSP1,2022-01-01 07:00:00,-401.05,-391.4675,17.48,2022-01-01 07:00:00,539.7866666666666,-9.1375,-8.298462980134243,401.05,242.23972110572254,-539.7866666666666,-490.22157816726633,0.8810835517642833
8,2022-01-01 08:00:00,2022-01-01 09:00:00,VIC1,5140.974,4276.981,4810.904,VIC1-NSW1,2022-01-01 08:00:00,2.410833333333334,0.0675000000000001,0.87,T-V-MNSP1,2022-01-01 08:00:00,-396.8333333333333,-398.6566666666667,18.09083333333333,2022-01-01 08:00:00,453.50333333333333,2.410833333333334,2.1432746030337197,396.8333333333333,352.79203801059697,-453.50333333333333,-403.1726968784522,0.889018155423596
9,2022-01-01 09:00:00,2022-01-01 10:00:00,VIC1,5293.529,4461.729,4949.186,VIC1-NSW1,2022-01-01 09:00:00,-122.87,-106.42333333333332,1.6575,T-V-MNSP1,2022-01-01 09:00:00,-391.23333333333335,-389.1575,17.355,2022-01-01 09:00:00,447.0183333333333,-122.87,-110.76824395567273,391.23333333333335,233.39650792542466,-447.0183333333333,-402.9904435527378,0.8764992451400094
