,Hour,MEF,AEF,Prices
0,0,0.30812261329598034,0.07008188564657535,0.030525855494396015
1,1,0.3299251315765753,0.09221408063835618,0.030085394093607307
2,2,0.35518873602297774,0.12047095279452054,0.028190397488584477
3,3,0.38518674634252875,0.1363372198219178,0.027461663805936072
4,4,0.32781373191736546,0.13395555803561643,0.02934312299086758
5,5,0.32036798180451365,0.11196917464383561,0.03385769884931507
6,6,0.26195273481635534,0.08830115851232877,0.03868678091552511
7,7,0.2460719893512246,0.08464928186027397,0.04767047580136987
8,8,0.20281312669062682,0.09599741559178082,0.0401254522739726
9,9,0.22025185787674553,0.11135062501643836,0.03794160005251142
10,10,0.22622142313150134,0.13674982930136986,0.03333450401598173
11,11,0.23678851209128962,0.15771796417534245,0.03123432527853881
12,12,0.22339988553278717,0.16638447391232877,0.030104664043378995
13,13,0.2509077301186426,0.1640425336931507,0.02853713609589041
14,14,0.254271496186886,0.1497328001589041,0.029971256577625574
15,15,0.24133662793446795,0.12587190593972603,0.03427358774200913
16,16,0.20571472793844334,0.09156539357260274,0.03658775133561644
17,17,0.17104215413648818,0.06089069865205479,0.04729071305479452
18,18,0.1549865760494811,0.0450535134630137,0.04488644298401826
19,19,0.1712405415540764,0.03381414525753424,0.03728649992465753
20,20,0.18544378622903693,0.031976516010958904,0.03653891115068493
21,21,0.20140486488032658,0.041442028463013696,0.035318913746575344
22,22,0.24140724819766154,0.06037929650958904,0.03226991222374429
23,23,0.27503206723676216,0.06642090902739725,0.031167801305936074
