,Hour,MEF,AEF,Prices
0,0,0.6000304923020686,0.7912079645857251,0.0452137446494396
1,1,0.6463631499278953,0.8086550240782143,0.036635851726027395
2,2,0.672164498339067,0.818404244777836,0.029625140132420093
3,3,0.7115385024429057,0.8201661397803326,0.027631732383561643
4,4,0.6428231702903189,0.8156359630263589,0.030061801084474885
5,5,0.6145455160313117,0.8020064167890432,0.038913620187214615
6,6,0.5258213172995019,0.7752513635429095,0.053030427621004565
7,7,0.4753898163311817,0.7470931199040581,0.055284277673515986
8,8,0.47212703760288083,0.7387449656438687,0.04571884810502283
9,9,0.48886262726307317,0.7428868182517999,0.03723301875570776
10,10,0.5098335671773779,0.7491253640676798,0.02906138108219178
11,11,0.5033899691573502,0.7510658478054021,0.024435093075342466
12,12,0.5032167514978898,0.7513523810440833,0.023747374331050227
13,13,0.47997100220088,0.7491685450462815,0.025641853020547944
14,14,0.49072816914715717,0.7446014332704203,0.029135427778538812
15,15,0.49817235563918083,0.734507103700961,0.035450589481735156
16,16,0.4381985458292293,0.7250033103527,0.05275543502739726
17,17,0.4046567398860301,0.7032977679253662,0.10389670533561644
18,18,0.393457569442416,0.6912424919676079,0.12894587061643836
19,19,0.4339764411541733,0.7014085882432739,0.07698208426027398
20,20,0.4414623225217185,0.7187460929020514,0.06710424752739726
21,21,0.4593876830669683,0.7427732302982233,0.056201361778538815
22,22,0.5324179139728991,0.7716764474839009,0.05235557230593607
23,23,0.567657837463379,0.7775963167413671,0.05273445099771689
