,Hour,MEF,EF,Prices
0,0,0.6000304923020686,0.833189204295247,0.0452137446494396
1,1,0.6463631499278953,0.8516220900198629,0.036635851726027395
2,2,0.672164498339067,0.8606549379995434,0.029625140132420093
3,3,0.7115385024429057,0.8630028747762557,0.027631732383561643
4,4,0.6428231702903189,0.8591573746248858,0.030061801084474885
5,5,0.6145455160313117,0.8456488228570775,0.038913620187214615
6,6,0.5258213172995019,0.8162991768018265,0.053030427621004565
7,7,0.4753898163311817,0.785251149988128,0.055284277673515986
8,8,0.47212703760288083,0.7752366939789953,0.04571884810502283
9,9,0.48886262726307317,0.7786307676621005,0.03723301875570776
10,10,0.5098335671773779,0.7837645199627854,0.02906138108219178
11,11,0.5033899691573502,0.7865513683561645,0.024435093075342466
12,12,0.5032167514978898,0.7871407412641552,0.023747374331050227
13,13,0.47997100220088,0.78601612318242,0.025641853020547944
14,14,0.49072816914715717,0.7819032813993151,0.029135427778538812
15,15,0.49817235563918083,0.7719949656947489,0.035450589481735156
16,16,0.4381985458292293,0.7633824557054795,0.05275543502739726
17,17,0.4046567398860301,0.7437320743445206,0.10389670533561644
18,18,0.393457569442416,0.7329214770568493,0.12894587061643836
19,19,0.4339764411541733,0.7422745154207763,0.07698208426027398
20,20,0.4414623225217185,0.7605232057678082,0.06710424752739726
21,21,0.4593876830669683,0.7836956214326484,0.056201361778538815
22,22,0.5324179139728991,0.8143109634449771,0.05235557230593607
23,23,0.567657837463379,0.8235363828447488,0.05273445099771689
