,Hour,MEF,EF,Prices
0,0,0.61424365049837,0.22561023477685763,0.06274929703320879
1,1,0.6541914200053964,0.21374116066347032,0.04547682048630137
2,2,0.6810535584569594,0.20378571326095893,0.03714920291324201
3,3,0.7007496851865241,0.20266767508127856,0.04097929353424657
4,4,0.635671618912366,0.20527644262488587,0.03688008785388128
5,5,0.6009502613617599,0.21497634093401827,0.046631853874429224
6,6,0.5234133617439519,0.23056827228356164,0.05880803625570776
7,7,0.4757787158579342,0.24030368711598174,0.059290657582191784
8,8,0.45176234196930676,0.22633244223972604,0.04825446961643835
9,9,0.4395820800212619,0.20392449901255708,0.037795529618721464
10,10,0.4355327350714876,0.19239638291598174,0.03933090504109589
11,11,0.4218866534205037,0.18922069176255707,0.029688297723744293
12,12,0.40556275589408775,0.19184289229748858,0.03481846691552511
13,13,0.38925195482600317,0.19410149070068494,0.03091752533561644
14,14,0.3889126315268683,0.19409914871552514,0.029727374260273973
15,15,0.4021316648460424,0.19790337277420092,0.03494145560273972
16,16,0.3797646054222153,0.22138804337671233,0.051854710554794514
17,17,0.3981510954620026,0.2719187694821918,0.10316823162557077
18,18,0.4209126627379868,0.31110018151643837,0.15009342020776256
19,19,0.46200482477275573,0.30712158378470317,0.13436253866438358
20,20,0.4819614360186052,0.2840211808278539,0.08637556679680365
21,21,0.49437327941669296,0.2569655632027397,0.06595067828082192
22,22,0.5403669433855741,0.23865781843995434,0.07424462207990867
23,23,0.581408967200905,0.2308359315956621,0.07963204659132421
