,Hour,MEF,AEF,Prices
0,0,0.61424365049837,0.3246015065287671,0.06274929703320879
1,1,0.6541914200053964,0.32242011690136985,0.04547682048630137
2,2,0.6810535584569594,0.3142270634109589,0.03714920291324201
3,3,0.7007496851865241,0.3108670989013699,0.04097929353424657
4,4,0.635671618912366,0.30613753621643836,0.03688008785388128
5,5,0.6009502613617599,0.305270999460274,0.046631853874429224
6,6,0.5234133617439519,0.3079599157315069,0.05880803625570776
7,7,0.4757787158579342,0.3091212387369863,0.059290657582191784
8,8,0.45176234196930676,0.2908112467342466,0.04825446961643835
9,9,0.4395820800212619,0.2655367449808219,0.037795529618721464
10,10,0.4355327350714876,0.2445458342328767,0.03933090504109589
11,11,0.4218866534205037,0.23234793918904112,0.029688297723744293
12,12,0.40556275589408775,0.22766519385753425,0.03481846691552511
13,13,0.38925195482600317,0.22719664311232876,0.03091752533561644
14,14,0.3889126315268683,0.2253108716410959,0.029727374260273973
15,15,0.4021316648460424,0.23039187897260274,0.03494145560273972
16,16,0.3797646054222153,0.2567963016,0.051854710554794514
17,17,0.3981510954620026,0.3095737782712329,0.10316823162557077
18,18,0.4209126627379868,0.34670040332328766,0.15009342020776256
19,19,0.46200482477275573,0.3564718471726027,0.13436253866438358
20,20,0.4819614360186052,0.34429883152328766,0.08637556679680365
21,21,0.49437327941669296,0.3259621469424657,0.06595067828082192
22,22,0.5403669433855741,0.31442563863835615,0.07424462207990867
23,23,0.581408967200905,0.306088302139726,0.07963204659132421
